Context|Response
ImgoingthroughsomethingswithmyfeelingsandmyselfIbarelysleepandIdonothingbutthinkabouthowImworthlessandhowIshouldntbehereIvenevertriedorcontemplatedsuicideIvealwayswantedtofixmyissuesbutInevergetaroundtoitHowcanIchangemyfeelingofbeingworthlesstoeveryone|IfeveryonethinksyoureworthlessthenmaybeyouneedtofindnewpeopletohangoutwithSeriouslythesocialcontextinwhichapersonlivesisabiginfluenceinselfesteemOtherwiseyoucangoroundandroundtryingtounderstandwhyyourenotworthlessthengobacktothesamecrowdandbeknockeddownagainTherearemanyinspirationalmessagesyoucanfindinsocialmediaMaybereadsomeoftheoneswhichstatethatnopersonisworthlessandthateveryonehasagoodpurposetotheirlifeAlsosinceourcultureissosaturatedwiththebeliefthatifsomeonedoesntfeelgoodaboutthemselvesthatthisissomehowterribleBadfeelingsarepartoflivingTheyarethemotivationtoremoveourselvesfromsituationsandrelationshipswhichdousmoreharmthangoodBadfeelingsdofeelterribleYourfeelingofworthlessnessmaybegoodinthesenseofmotivatingyoutofindoutthatyouaremuchbetterthanyourfeelingstoday
ImgoingthroughsomethingswithmyfeelingsandmyselfIbarelysleepandIdonothingbutthinkabouthowImworthlessandhowIshouldntbehereIvenevertriedorcontemplatedsuicideIvealwayswantedtofixmyissuesbutInevergetaroundtoitHowcanIchangemyfeelingofbeingworthlesstoeveryone|HelloandthankyouforyourquestionandseekingadviceonthisFeelingsofworthlessnessisunfortunatelycommonInfactmostpeopleifnotallhavefeltthistosomedegreeatsomepointintheirlifeYouarenotaloneChangingourfeelingsislikechangingourthoughtsitshardtodoOurmindsaresoamazingthattheminuteyouchangeyourthoughtanotheronecanberighttheretotakeitsplaceWithoutyourpermissionanotherthoughtcanjustpopinthereThenewthoughtmayfeelworsethanthelastoneMyguessisthatyouhavetriedseveralthingstoimprovethisonyourownevenbeforereachingoutonherePeopleoftentrythinkingpositivethoughtsdebatingwiththeirthoughtsorsimplytellingthemselvesthattheyneedtosnapoutofitwhichisalsoathoughtthatcarriessomeselfcriticismSomepeopletryadifferentapproachandtherearecounselorsouttherethatcanhelpyouwiththisTheideaisthatinsteadoftryingtochangethethoughtsyouchangehowyourespondtothemYoulearnskillsthatallowyoutomanagedifficultthoughtsandfeelingsdifferentlysotheydonthavethesameimpactonyouthattheydorightnowForsomepeopletheyactuallyDObegintoexperiencelesshurtfulthoughtsoncetheylearnhowtomanagetheonestheyhavedifferentlyAcceptanceandCommitmentTherapymaybeagoodchoiceforyouThereisinformationonlineandevenselfhelpbooksthatyoucanusetoteachyoutheskillsthatImentionedBecausetheyareskillstheyrequirepracticebutmanypeoplehavefoundgreatreliefandanenrichedlifebylearningthemAsforsuicidalthoughtsIamverygladtoreadthatthishasnothappenedtoyouStillyoushouldwatchoutforthisbecauseitcanbeasignofaworseningdepressionIfyoubegintothinkaboutthisitisimportanttoreachouttoasupportsystemrightawayTheNationalSuicidePreventionLifelineis18002738255Thetextlineis741741IhopesomeothercolleagueswillprovideyoumoresuggestionsBewellRobinLandwehrDBHLPCC
ImgoingthroughsomethingswithmyfeelingsandmyselfIbarelysleepandIdonothingbutthinkabouthowImworthlessandhowIshouldntbehereIvenevertriedorcontemplatedsuicideIvealwayswantedtofixmyissuesbutInevergetaroundtoitHowcanIchangemyfeelingofbeingworthlesstoeveryone|FirstthingIdsuggestisgettingthesleepyouneedoritwillimpacthowyouthinkandfeelIdlookatfindingwhatisgoingwellinyourlifeandwhatyoucanbegratefulforIbelieveeveryonehastalentsandwantstofindtheirpurposeinlifeIthinkyoucanfigureitoutwithsomehelp
ImgoingthroughsomethingswithmyfeelingsandmyselfIbarelysleepandIdonothingbutthinkabouthowImworthlessandhowIshouldntbehereIvenevertriedorcontemplatedsuicideIvealwayswantedtofixmyissuesbutInevergetaroundtoitHowcanIchangemyfeelingofbeingworthlesstoeveryone|TherapyisessentialforthosethatarefeelingdepressedandworthlessWhenIworkwiththosethatareexperiencingconcernsrelatedtofeelingofdepressionandissueswithselfesteemIgenerallyworkwithmyclienttohelpbuildcopingskillstoreducelevelofdepressionandtoassistwithstrengtheningselfesteembyguidingmyclientwithCBTpracticesCBThelpswithgainingabetterawarenessofhowyourthoughtprocessinfluencesyourbeliefsystemandhowyourbeliefsimpactyouractionsandtheoutcomeofyourbehaviorsThisprocessisnteasybutithelpsteachanindividualthatwedontalwayshavecontroloverwhathappensinourlivesbutwecancontrolhowweinterpretfeelandbehaveCBTisgoodforindividualsdealingwithdepressionanxietytoxicrelationshipsstressselfesteemcodependencyetc
ImgoingthroughsomethingswithmyfeelingsandmyselfIbarelysleepandIdonothingbutthinkabouthowImworthlessandhowIshouldntbehereIvenevertriedorcontemplatedsuicideIvealwayswantedtofixmyissuesbutInevergetaroundtoitHowcanIchangemyfeelingofbeingworthlesstoeveryone|IfirstwanttoletyouknowthatyouarenotaloneinyourfeelingsandthereisalwayssomeonetheretohelpYoucanalwayschangeyourfeelingsandchangeyourwayofthinkingbybeingopentotryingtochangeYoucanalwaysmakeyourselfavailabletolearningnewthingsorvolunteeringsothatyoucanmakeapurposeforyourself
ImgoingthroughsomethingswithmyfeelingsandmyselfIbarelysleepandIdonothingbutthinkabouthowImworthlessandhowIshouldntbehereIvenevertriedorcontemplatedsuicideIvealwayswantedtofixmyissuesbutInevergetaroundtoitHowcanIchangemyfeelingofbeingworthlesstoeveryone|HecksurethinghunFeelingsofdepressionhaveadeeplyrootedbaseinphysicalstructuresthatmaynotbefunctioningverywellatpresentandwecancertainlyturnthemonagainusingmeansthatyouareabletofindaroundthehouseandwithrelativeeaseAfterthatemotionalandspiritualsupportwillbeliberallyapplied
ImgoingthroughsomethingswithmyfeelingsandmyselfIbarelysleepandIdonothingbutthinkabouthowImworthlessandhowIshouldntbehereIvenevertriedorcontemplatedsuicideIvealwayswantedtofixmyissuesbutInevergetaroundtoitHowcanIchangemyfeelingofbeingworthlesstoeveryone|YouareexhibitingsomespecifictraitsofaparticulartemperamenttypeSeekoutacounselorwhoprovidesNCCAtemperamenttherapyanddiscoverthejoyofbeingyouGodlovesyouasyouare
ImgoingthroughsomethingswithmyfeelingsandmyselfIbarelysleepandIdonothingbutthinkabouthowImworthlessandhowIshouldntbehereIvenevertriedorcontemplatedsuicideIvealwayswantedtofixmyissuesbutInevergetaroundtoitHowcanIchangemyfeelingofbeingworthlesstoeveryone|ThatisintenseDepressionisaliarSometimesdepressionplacestheseglassesoveroureyesthesedarksunglassesthatchangehowweseethingsDepressiontellsusthingslikeyoureworthlessnoonelikesyoudontworryaboutdoinganythingAnditissoeasyforustolistenandtobetrickedintothinkingthatjustbecausewefeelsomethingmeansitistruePleaseknowthatevenifyouarefeelingworthlessrightnowthatdoesntmeanyouareworthlessThefirststeptoworkingthroughthisisrecognizingwhatisgoingonRecognizingwhendepressionistellingyouthesamestoryiebeingworthlesswithdifferentwordsieworthlesshereworthlessthereandmakinganefforttotalkbackWhileIcannotgiveyouadiagnosisofdepressionreadingwhatyouaregoingthroughitsoundslikeyoumightneedhelptogetbackontrackSeeingacounselorcanopenanentirelynewoptionupwhereinsomeonewhoisnotinvolvedinyourlifecanhelpyouwithoutjudgementandwithanobjectiveperspectiveThiscandowondersinunwrappingthesekindsofthoughtsWishingyoutheabsolutebest
ImgoingthroughsomethingswithmyfeelingsandmyselfIbarelysleepandIdonothingbutthinkabouthowImworthlessandhowIshouldntbehereIvenevertriedorcontemplatedsuicideIvealwayswantedtofixmyissuesbutInevergetaroundtoitHowcanIchangemyfeelingofbeingworthlesstoeveryone|ItsoundslikeyoumaybeputtingyourselflastYouwrotethatyouwanttofixyourissuesbutnevergetaroundtoitIwonderhowyouarespendingyourmentalandphysicalenergyAreyouspendingtimetakingcareofanddoingforothersIalsowonderwherethethoughtsandfeelingsofbeingworthlessarecomingfromareyouaroundpeoplewhotreatyoupoorlyorarehurtfulOrdoyoufeelitismoreofaworryyouhavebutarentreallysurehowothersfeelItmaybehelpfultotalktosomeoneaboutyourfeelingsacounselorperhapstoclarifyyourfeelingsandmoveforwardfromsethatarehurtingyou
ImgoingthroughsomethingswithmyfeelingsandmyselfIbarelysleepandIdonothingbutthinkabouthowImworthlessandhowIshouldntbehereIvenevertriedorcontemplatedsuicideIvealwayswantedtofixmyissuesbutInevergetaroundtoitHowcanIchangemyfeelingofbeingworthlesstoeveryone|ItmustbereallydifficulttoexperiencewhatyourgoingthroughrightnowIttakesalotofcouragetoreachoutItsoundslikeyouwanttogetbetterbutperhapsneedsomehelptogetoverthehumpManyofthesymptomsyouhavedescribedareconsistentwithapersonwhoisdealingwithdepressionDepressionisatreatableconditionTypicallyifthesesymptomshavepersistedformorethantwoweeksthenitisagoodideatoseekprofessionalhelpSomeonewhoistrainedindealingwithdepressionInitiallyacomprehensiveassessmentwouldbecompletedtoruleoutanyothercausesforyoursymptomsandtodeterminetheexactnatureofyourpresentingconcernThenincollaborationwithoneanotheratailoredtreatmentplanwouldbedevelopedfocusingonhowtobesthelpyoureachyourgoalsThegoodnewsisthattheirishopeforgettingbetterYoudonthavetodoitaloneAllowmetobeyourallyinhealing
