Context|Response
imgoingthroughsomethingswithmyfeelingsandmyselfibarelysleepandidonothingbutthinkabouthowimworthlessandhowishouldntbehereivenevertriedorcontemplatedsuicideivealwayswantedtofixmyissuesbutinevergetaroundtoithowcanichangemyfeelingofbeingworthlesstoeveryone|ifeveryonethinksyoureworthlessthenmaybeyouneedtofindnewpeopletohangoutwithseriouslythesocialcontextinwhichapersonlivesisabiginfluenceinselfesteemotherwiseyoucangoroundandroundtryingtounderstandwhyyourenotworthlessthengobacktothesamecrowdandbeknockeddownagaintherearemanyinspirationalmessagesyoucanfindinsocialmediamaybereadsomeoftheoneswhichstatethatnopersonisworthlessandthateveryonehasagoodpurposetotheirlifealsosinceourcultureissosaturatedwiththebeliefthatifsomeonedoesntfeelgoodaboutthemselvesthatthisissomehowterriblebadfeelingsarepartoflivingtheyarethemotivationtoremoveourselvesfromsituationsandrelationshipswhichdousmoreharmthangoodbadfeelingsdofeelterribleyourfeelingofworthlessnessmaybegoodinthesenseofmotivatingyoutofindoutthatyouaremuchbetterthanyourfeelingstoday
imgoingthroughsomethingswithmyfeelingsandmyselfibarelysleepandidonothingbutthinkabouthowimworthlessandhowishouldntbehereivenevertriedorcontemplatedsuicideivealwayswantedtofixmyissuesbutinevergetaroundtoithowcanichangemyfeelingofbeingworthlesstoeveryone|helloandthankyouforyourquestionandseekingadviceonthisfeelingsofworthlessnessisunfortunatelycommoninfactmostpeopleifnotallhavefeltthistosomedegreeatsomepointintheirlifeyouarenotalonechangingourfeelingsislikechangingourthoughtsitshardtodoourmindsaresoamazingthattheminuteyouchangeyourthoughtanotheronecanberighttheretotakeitsplacewithoutyourpermissionanotherthoughtcanjustpopintherethenewthoughtmayfeelworsethanthelastonemyguessisthatyouhavetriedseveralthingstoimprovethisonyourownevenbeforereachingoutonherepeopleoftentrythinkingpositivethoughtsdebatingwiththeirthoughtsorsimplytellingthemselvesthattheyneedtosnapoutofitwhichisalsoathoughtthatcarriessomeselfcriticismsomepeopletryadifferentapproachandtherearecounselorsouttherethatcanhelpyouwiththistheideaisthatinsteadoftryingtochangethethoughtsyouchangehowyourespondtothemyoulearnskillsthatallowyoutomanagedifficultthoughtsandfeelingsdifferentlysotheydonthavethesameimpactonyouthattheydorightnowforsomepeopletheyactuallydobegintoexperiencelesshurtfulthoughtsoncetheylearnhowtomanagetheonestheyhavedifferentlyacceptanceandcommitmenttherapymaybeagoodchoiceforyouthereisinformationonlineandevenselfhelpbooksthatyoucanusetoteachyoutheskillsthatimentionedbecausetheyareskillstheyrequirepracticebutmanypeoplehavefoundgreatreliefandanenrichedlifebylearningthemasforsuicidalthoughtsiamverygladtoreadthatthishasnothappenedtoyoustillyoushouldwatchoutforthisbecauseitcanbeasignofaworseningdepressionifyoubegintothinkaboutthisitisimportanttoreachouttoasupportsystemrightawaythenationalsuicidepreventionlifelineis18002738255thetextlineis741741ihopesomeothercolleagueswillprovideyoumoresuggestionsbewellrobinlandwehrdbhlpcc
imgoingthroughsomethingswithmyfeelingsandmyselfibarelysleepandidonothingbutthinkabouthowimworthlessandhowishouldntbehereivenevertriedorcontemplatedsuicideivealwayswantedtofixmyissuesbutinevergetaroundtoithowcanichangemyfeelingofbeingworthlesstoeveryone|firstthingidsuggestisgettingthesleepyouneedoritwillimpacthowyouthinkandfeelidlookatfindingwhatisgoingwellinyourlifeandwhatyoucanbegratefulforibelieveeveryonehastalentsandwantstofindtheirpurposeinlifeithinkyoucanfigureitoutwithsomehelp
imgoingthroughsomethingswithmyfeelingsandmyselfibarelysleepandidonothingbutthinkabouthowimworthlessandhowishouldntbehereivenevertriedorcontemplatedsuicideivealwayswantedtofixmyissuesbutinevergetaroundtoithowcanichangemyfeelingofbeingworthlesstoeveryone|therapyisessentialforthosethatarefeelingdepressedandworthlesswheniworkwiththosethatareexperiencingconcernsrelatedtofeelingofdepressionandissueswithselfesteemigenerallyworkwithmyclienttohelpbuildcopingskillstoreducelevelofdepressionandtoassistwithstrengtheningselfesteembyguidingmyclientwithcbtpracticescbthelpswithgainingabetterawarenessofhowyourthoughtprocessinfluencesyourbeliefsystemandhowyourbeliefsimpactyouractionsandtheoutcomeofyourbehaviorsthisprocessisnteasybutithelpsteachanindividualthatwedontalwayshavecontroloverwhathappensinourlivesbutwecancontrolhowweinterpretfeelandbehavecbtisgoodforindividualsdealingwithdepressionanxietytoxicrelationshipsstressselfesteemcodependencyetc
imgoingthroughsomethingswithmyfeelingsandmyselfibarelysleepandidonothingbutthinkabouthowimworthlessandhowishouldntbehereivenevertriedorcontemplatedsuicideivealwayswantedtofixmyissuesbutinevergetaroundtoithowcanichangemyfeelingofbeingworthlesstoeveryone|ifirstwanttoletyouknowthatyouarenotaloneinyourfeelingsandthereisalwayssomeonetheretohelpyoucanalwayschangeyourfeelingsandchangeyourwayofthinkingbybeingopentotryingtochangeyoucanalwaysmakeyourselfavailabletolearningnewthingsorvolunteeringsothatyoucanmakeapurposeforyourself
imgoingthroughsomethingswithmyfeelingsandmyselfibarelysleepandidonothingbutthinkabouthowimworthlessandhowishouldntbehereivenevertriedorcontemplatedsuicideivealwayswantedtofixmyissuesbutinevergetaroundtoithowcanichangemyfeelingofbeingworthlesstoeveryone|hecksurethinghunfeelingsofdepressionhaveadeeplyrootedbaseinphysicalstructuresthatmaynotbefunctioningverywellatpresentandwecancertainlyturnthemonagainusingmeansthatyouareabletofindaroundthehouseandwithrelativeeaseafterthatemotionalandspiritualsupportwillbeliberallyapplied
imgoingthroughsomethingswithmyfeelingsandmyselfibarelysleepandidonothingbutthinkabouthowimworthlessandhowishouldntbehereivenevertriedorcontemplatedsuicideivealwayswantedtofixmyissuesbutinevergetaroundtoithowcanichangemyfeelingofbeingworthlesstoeveryone|youareexhibitingsomespecifictraitsofaparticulartemperamenttypeseekoutacounselorwhoprovidesnccatemperamenttherapyanddiscoverthejoyofbeingyougodlovesyouasyouare
imgoingthroughsomethingswithmyfeelingsandmyselfibarelysleepandidonothingbutthinkabouthowimworthlessandhowishouldntbehereivenevertriedorcontemplatedsuicideivealwayswantedtofixmyissuesbutinevergetaroundtoithowcanichangemyfeelingofbeingworthlesstoeveryone|thatisintensedepressionisaliarsometimesdepressionplacestheseglassesoveroureyesthesedarksunglassesthatchangehowweseethingsdepressiontellsusthingslikeyoureworthlessnoonelikesyoudontworryaboutdoinganythinganditissoeasyforustolistenandtobetrickedintothinkingthatjustbecausewefeelsomethingmeansitistruepleaseknowthatevenifyouarefeelingworthlessrightnowthatdoesntmeanyouareworthlessthefirststeptoworkingthroughthisisrecognizingwhatisgoingonrecognizingwhendepressionistellingyouthesamestoryiebeingworthlesswithdifferentwordsieworthlesshereworthlessthereandmakinganefforttotalkbackwhileicannotgiveyouadiagnosisofdepressionreadingwhatyouaregoingthroughitsoundslikeyoumightneedhelptogetbackontrackseeingacounselorcanopenanentirelynewoptionupwhereinsomeonewhoisnotinvolvedinyourlifecanhelpyouwithoutjudgementandwithanobjectiveperspectivethiscandowondersinunwrappingthesekindsofthoughtswishingyoutheabsolutebest
imgoingthroughsomethingswithmyfeelingsandmyselfibarelysleepandidonothingbutthinkabouthowimworthlessandhowishouldntbehereivenevertriedorcontemplatedsuicideivealwayswantedtofixmyissuesbutinevergetaroundtoithowcanichangemyfeelingofbeingworthlesstoeveryone|itsoundslikeyoumaybeputtingyourselflastyouwrotethatyouwanttofixyourissuesbutnevergetaroundtoitiwonderhowyouarespendingyourmentalandphysicalenergyareyouspendingtimetakingcareofanddoingforothersialsowonderwherethethoughtsandfeelingsofbeingworthlessarecomingfromareyouaroundpeoplewhotreatyoupoorlyorarehurtfulordoyoufeelitismoreofaworryyouhavebutarentreallysurehowothersfeelitmaybehelpfultotalktosomeoneaboutyourfeelingsacounselorperhapstoclarifyyourfeelingsandmoveforwardfromsethatarehurtingyou
imgoingthroughsomethingswithmyfeelingsandmyselfibarelysleepandidonothingbutthinkabouthowimworthlessandhowishouldntbehereivenevertriedorcontemplatedsuicideivealwayswantedtofixmyissuesbutinevergetaroundtoithowcanichangemyfeelingofbeingworthlesstoeveryone|itmustbereallydifficulttoexperiencewhatyourgoingthroughrightnowittakesalotofcouragetoreachoutitsoundslikeyouwanttogetbetterbutperhapsneedsomehelptogetoverthehumpmanyofthesymptomsyouhavedescribedareconsistentwithapersonwhoisdealingwithdepressiondepressionisatreatableconditiontypicallyifthesesymptomshavepersistedformorethantwoweeksthenitisagoodideatoseekprofessionalhelpsomeonewhoistrainedindealingwithdepressioninitiallyacomprehensiveassessmentwouldbecompletedtoruleoutanyothercausesforyoursymptomsandtodeterminetheexactnatureofyourpresentingconcernthenincollaborationwithoneanotheratailoredtreatmentplanwouldbedevelopedfocusingonhowtobesthelpyoureachyourgoalsthegoodnewsisthattheirishopeforgettingbetteryoudonthavetodoitaloneallowmetobeyourallyinhealing
